925,2001459853979,791K-TASLAN-81/90|48-50_158-164,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(925, '2001459853979', 'activity'),"
926,2001459868539,791K-TASLAN-81/90|48-50_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(926, '2001459868539', 'activity'),"
927,2001459853986,791K-TASLAN-81/90|52-54_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(927, '2001459853986', 'activity'),"
928,2001459844953,791K-TASLAN-81/90|52-54_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(928, '2001459844953', 'activity'),"
930,2001459844960,791K-TASLAN-81/90|56-58_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(930, '2001459844960', 'activity'),"
932,2001459853993,791K-TASLAN-81/90|60-62_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(932, '2001459853993', 'activity'),"
935,2001459876770,379A-P159-22/57|48-50_170-176,Китель повара 379A-P159-22/57,"(935, '2001459876770', 'activity'),"
936,2001459876763,379A-P159-22/57|44-46_170-176,Китель повара 379A-P159-22/57,"(936, '2001459876763', 'activity'),"
937,2001459876787,379A-P159-22/57|48-50_182-188,Китель повара 379A-P159-22/57,"(937, '2001459876787', 'activity'),"
938,2001459876794,379A-P159-22/57|52-54_170-176,Китель повара 379A-P159-22/57,"(938, '2001459876794', 'activity'),"
939,2001459876800,379A-P159-22/57|52-54_182-188,Китель повара 379A-P159-22/57,"(939, '2001459876800', 'activity'),"
940,2001459876817,379A-P159-22/57|56-58_170-176,Китель повара 379A-P159-22/57,"(940, '2001459876817', 'activity'),"
941,2001459876824,379A-P159-22/57|56-58_182-188,Китель повара 379A-P159-22/57,"(941, '2001459876824', 'activity'),"
942,2001459876831,379A-P159-22/57|60-62_182-188,Китель повара 379A-P159-22/57,"(942, '2001459876831', 'activity'),"
943,2001459876923,379A-P159-83/57|48-50_170-176,Китель повара 379A-P159-83/57,"(943, '2001459876923', 'activity'),"
944,2001459876916,379A-P159-83/57|44-46_170-176,Китель повара 379A-P159-83/57,"(944, '2001459876916', 'activity'),"
945,2001459876930,379A-P159-83/57|48-50_182-188,Китель повара 379A-P159-83/57,"(945, '2001459876930', 'activity'),"
946,2001459876947,379A-P159-83/57|52-54_170-176,Китель повара 379A-P159-83/57,"(946, '2001459876947', 'activity'),"
947,2001459876954,379A-P159-83/57|52-54_182-188,Китель повара 379A-P159-83/57,"(947, '2001459876954', 'activity'),"
948,2001459876961,379A-P159-83/57|56-58_170-176,Китель повара 379A-P159-83/57,"(948, '2001459876961', 'activity'),"
949,2001459876978,379A-P159-83/57|56-58_182-188,Китель повара 379A-P159-83/57,"(949, '2001459876978', 'activity'),"
950,2001459876862,379A-TRENDLITE-81/57|48-50_182-188,Китель повара 379A-TRENDLITE-81/57,"(950, '2001459876862', 'activity'),"
951,2001459876848,379A-TRENDLITE-81/57|44-46_170-176,Китель повара 379A-TRENDLITE-81/57,"(951, '2001459876848', 'activity'),"
952,2001459876855,379A-TRENDLITE-81/57|48-50_170-176,Китель повара 379A-TRENDLITE-81/57,"(952, '2001459876855', 'activity'),"
953,2001459876879,379A-TRENDLITE-81/57|52-54_170-176,Китель повара 379A-TRENDLITE-81/57,"(953, '2001459876879', 'activity'),"
954,2001459876886,379A-TRENDLITE-81/57|52-54_182-188,Китель повара 379A-TRENDLITE-81/57,"(954, '2001459876886', 'activity'),"
955,2001459876893,379A-TRENDLITE-81/57|56-58_170-176,Китель повара 379A-TRENDLITE-81/57,"(955, '2001459876893', 'activity'),"
956,2001459876909,379A-TRENDLITE-81/57|56-58_182-188,Китель повара 379A-TRENDLITE-81/57,"(956, '2001459876909', 'activity'),"
958,2001459870396,818A-AS-15|52-54_182,Комбинезон 818A-AS-15,"(958, '2001459870396', 'activity'),"
959,2001459870358,818A-AS-15|48-50_176,Комбинезон 818A-AS-15,"(959, '2001459870358', 'activity'),"
960,2001459870365,818A-AS-15|48-50_182,Комбинезон 818A-AS-15,"(960, '2001459870365', 'activity'),"
961,2001459870372,818A-AS-15|48-50_188,Комбинезон 818A-AS-15,"(961, '2001459870372', 'activity'),"
962,2001459870389,818A-AS-15|52-54_176,Комбинезон 818A-AS-15,"(962, '2001459870389', 'activity'),"
963,2001459870402,818A-AS-15|52-54_188,Комбинезон 818A-AS-15,"(963, '2001459870402', 'activity'),"
964,2001459870419,818A-AS-15|56-58_182,Комбинезон 818A-AS-15,"(964, '2001459870419', 'activity'),"
966,2001459870327,818A-AS-21|52-54_188,Комбинезон 818A-AS-21,"(966, '2001459870327', 'activity'),"
967,2001459870273,818A-AS-21|48-50_176,Комбинезон 818A-AS-21,"(967, '2001459870273', 'activity'),"
968,2001459870280,818A-AS-21|48-50_182,Комбинезон 818A-AS-21,"(968, '2001459870280', 'activity'),"
969,2001459870297,818A-AS-21|48-50_188,Комбинезон 818A-AS-21,"(969, '2001459870297', 'activity'),"
970,2001459870303,818A-AS-21|52-54_176,Комбинезон 818A-AS-21,"(970, '2001459870303', 'activity'),"
971,2001459870310,818A-AS-21|52-54_182,Комбинезон 818A-AS-21,"(971, '2001459870310', 'activity'),"
972,2001459870334,818A-AS-21|56-58_182,Комбинезон 818A-AS-21,"(972, '2001459870334', 'activity'),"
